// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;id;logicId;visibility;size;subclass;legacy;configurable;category;range;hasItems;acceptsItems;separateItemCapacity;itemCapacity;noSideBlend;unloadable;hasLiquids;outputsLiquid;liquidCapacity;hasPower;consumesPower;outputsPower;connectedPower;conductivePower;maxNodes;outputFacing;rotate;unitPlans;color;outlineColor;lightColor;health;solid;powerCapacity;powerStorage;configSenseable
air;0;-1;hidden;1;AirBlock;false;false;distribution;0.0;false;false;false;10;false;true;false;false;10.0;false;true;false;true;false;0;true;false;;000000ff;404049ff;ffffffff;-1;false;0.0;0.0;false
spawn;1;-1;hidden;1;SpawnBlock;false;false;distribution;0.0;false;true;false;10;false;true;false;false;10.0;false;true;false;true;false;0;true;false;;a93527ff;404049ff;ffffffff;40;false;0.0;0.0;false
remove-wall;2;-1;hidden;1;RemoveWall;false;false;distribution;0.0;false;true;false;10;false;true;false;false;10.0;false;true;false;true;false;0;true;false;;ff603cff;404049ff;ffffffff;40;false;0.0;0.0;false
remove-ore;3;-1;hidden;1;RemoveOre;false;false;distribution;0.0;false;true;false;10;false;true;false;false;10.0;false;true;false;true;false;0;true;false;;c4432aff;404049ff;ffffffff;40;false;0.0;0.0;false
cliff;4;-1;hidden;1;Cliff;false;false;distribution;0.0;false;true;false;10;false;true;false;false;10.0;false;true;false;true;false;0;true;false;;7f7f7fff;404049ff;ffffffff;40;true;0.0;0.0;false
build1;5;-1;hidden;1;ConstructBlock;false;false;distribution;0.0;false;true;false;10;false;true;false;false;10.0;false;true;false;true;false;0;true;false;;000000ff;404049ff;ffffffff;10;false;0.0;0.0;false
build2;6;-1;hidden;2;ConstructBlock;false;false;distribution;0.0;false;true;false;10;false;true;false;false;10.0;false;true;false;true;false;0;true;false;;000000ff;404049ff;ffffffff;10;false;0.0;0.0;false
build3;7;-1;hidden;3;ConstructBlock;false;false;distribution;0.0;false;true;false;10;false;true;false;false;10.0;false;true;false;true;false;0;true;false;;000000ff;404049ff;ffffffff;10;false;0.0;0.0;false
build4;8;-1;hidden;4;ConstructBlock;false;false;distribution;0.0;false;true;false;10;false;true;false;false;10.0;false;true;false;true;false;0;true;false;;000000ff;404049ff;ffffffff;10;false;0.0;0.0;false
build5;9;-1;hidden;5;ConstructBlock;false;false;distribution;0.0;false;true;false;10;false;true;false;false;10.0;false;true;false;true;false;0;true;false;;000000ff;404049ff;ffffffff;10;false;0.0;0.0;false
